COMPANY;FUND;INVESTMENT MIN;INVESTMENT MAX;COUNTRY;ADDRESS;ZIP;CITY;STATE;PHONE;FAX;EMAIL;WEBSITE;STAGE;INDUSTRY PREFERENCES;INVESTOR TYPES;COMMENTS;MANAGEMENT TEAMNAME;PHONES;EMAILS
Contact Indigo Funding LLC;1000000000;100000000;100000000;United States of America;;97209;Portland;Oregon;;;info@indigofunding.com;;Early Stage,Seed,Consolidation,Expansion,Mezzanine,StartUp,Series B;Agriculture,Biotechnology,Business Products,Business Services,Cleantech,Computer Services,Computer Hardware,Education,Diversified,Consumer Products,Energy & Natural Resources,Enthusiast, Craft & Hobby Products,Financial Services,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Healthcare,Internet,IT Services,Manufacturing,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Medical Services,Mining,Real Estate, Construction & Infrastructure,Retail and wholesale,Software,Technology,Telecommunication,Tourism & Hotels,Transportation,Video Games;Private Investor,Business Lender;;;;
Agio Capital Partners I, L.P.;370000000;5000000;5000000;United States of America;5050 Lincoln Drive, Suite 420;55436;Edina;Minnesota; 952-938-1628;(952) 933-6066;Info@agio-capital.com;;Management Buyout,Recapitalization;Distribution,Consumer Services,Manufacturing;Venture Capital Firm,Private Equity Firm;Agio's geographic preference is the Midwestern United States.;Kenneth F. Gudorf, President & CEO,Donald M. Haas, Managing Director;(952) 938-1628,(952) 938-1628;Ken@agio-capital.com,Don@Agio-Capital.com
Aheim Capital GmbH;700000000;70000000;70000000;Germany;Schloßbergstraße 1;82319;Starnberg;;+49 (81 51) 655 98-0;+49 (81 51) 655 9898;info@aheim.com;http://www.aheim.com/;Management Buyout,Expansion;Cleantech,Distribution,Diversified,Consumer Products,Pharmaceuticals,Transportation;Private Equity Firm;Anheim Capital's geographic preferences are in the German speaking regions of Europe.;;;
AHLSTRÖM CAPITAL OY;600000000;50000000;50000000;Finland;Eteläesplanadi 14 P.O.B. 169;FIN - 00131;Helsinki;;+358 (0)10 888 18;+358 (0)10 888 4769;;http://www.ahlstromcapital.com/;Management Buyout,Expansion,Leveraged Buyout;Diversified,Electronics,Manufacturing,Real Estate, Construction & Infrastructure;Private Investor;;;;
AIF Capital Limited, Hong Kong Headquarters;1500000000;100000000;100000000;China/Honk Kong/Macau;Suite 3401, Jardine House 1, Connaught Place Central;;Hong Kong;;+852 2912 7888;+852 2845 0786/1038;info@aifcapital.com;http://www.aifcapital.com/;Management Buyout,Expansion,Leveraged Buyout;Distribution,Diversified,Consumer Products,Energy & Natural Resources,Environment,Financial Services,Healthcare,Manufacturing,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Real Estate, Construction & Infrastructure,Retail and wholesale,Telecommunication,Transportation;Private Equity Firm;AIF Capital's geographic preference is within Asia's developing markets.;Peter Amour, Chief Executive Officer,Lim Lek Suan, Managing Director,Andy Tse, Managing Director,Stephen Lee, Managing Director,Theresa Chung, Managing Director;+852 2912 7888,+852 2912 7888,+852 2912 7888,+852 2912 7888,+852 2912 7888;peter.amour@aifcapital.com,lim.lek.suan@aifcapital.com,andy.tse@aifcapital.com,stephen.lee@aifcapital.com,stephen.lee@aifcapital.com
AIF Capital (India) Private Limited;1500000000;50000000;50000000;India;6/F Park Centra Exit 8 - NH 8 Sector 30, Gurgaon 122 001  National Capital Region;122 001;New Delhi;;+91 124 444 7888;+91 124 444 7898;info@aifcapital.com;http://www.aifcapital.com/;Management Buyout,Expansion,Leveraged Buyout;Distribution,Diversified,Consumer Products,Energy & Natural Resources,Environment,Financial Services,Healthcare,Manufacturing,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Real Estate, Construction & Infrastructure,Retail and wholesale,Telecommunication,Transportation;Private Equity Firm;AIF Capital's geographic preference is within Asia's developing markets.;Ajay Lal, Managing Director;+91 124 444 7888;ajay.lal@aifcapital.com
AISLING CAPITAL;560000000;50000000;50000000;United States of America;888 Seventh Avenue, 30th Floor;10106;New York;New York;212 651 6380;(212) 651 6379;jhoerrner@aislingcapital.com;www.aislingcapital.com;Early Stage,Later Stage,Expansion;Biotechnology,Financial Services,Healthcare,Life Sciences;Private Equity Firm;;Dennis J. Purcell, Senior Managing Partner,Steven A. Elms, Managing Partner,Andrew N. Schiff, Managing Partner	,Dov A. Goldstein, Partner,Anthony	Y. Sun, Partner,Brett I. W. Zbar, Partner,Josh Bilenker, Principal,Aftab R. Kherani, Associate;(212) 651-6380,(212) 651-6380,(212) 651-6380,(212) 651-6380,(212) 651-6380,(212) 651-6380,(212) 651-6380,(212) 651-6380;dpurcell@aislingcapital.com,selms@aislingcapital.com,aschiff@aislingcapital.com,dgoldstein@aislingcapital.com,asun@aislingcapital.com,bzbar@aislingcapital.com,jbilenker@aislingcapital.com,akherani@aislingcapital.com
Albion Investors, LLC;2700000000;20000000;20000000;United States of America;75 Rockefeller Plaza, 15th Floor;10019;New York;New York;212-277-7520;;marnold@albioninvestors.com;http://www.albioninvestors.com/;Later Stage,Management Buyout,Expansion,Leveraged Buyout;Business Services,Distribution,Diversified,Consumer Products,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Healthcare,Manufacturing;Private Equity Firm,Private Investor;Albion's geographic preferences are the continental United States and Canada;Mark Arnold, Managing Partner,Alastair Tedford, Managing Partner,Charles Gonzalez, Managing Director,Basil Livanos, Managing Director,Basil Livanos, Managing Director,James C. Pendergast, Managing Director,Christine A. Vogt, Assistant Vice President,Arthur Meehan, Senior Vice President,Eugene Fouksman, Assistant Vice President, Accounting;(212) 277-7527,(212) 277-7525,(212) 277-7537,(212) 277-7537,(212) 277-7524,(212) 277-7526,(212) 277-7521,(212) 277-7522,(212) 277-7529;marnold@albioninvestors.com,atedford@albioninvestors.com,cgonzalez@albioninvestors.com,cgonzalez@albioninvestors.com,blivanos@albioninvestors.com,jpendergast@albioninvestors.com,cvogt@albioninvestors.com,ameehan@albioninvestors.com,efouksman@albioninvestors.com
Alchemy Partners;2100000000;50000000;50000000;United Kingdom;25 Bedford Street,  Covent Garden ;WC2E 9ES;London;England;+ 44 (0)20 7240 9596;+ 44 (0)20 7240 9594;info@alchemypartners.com;http://www.alchemypartners.com/;Management Buyout,Leveraged Buyout,Mezzanine;Diversified,Healthcare,Life Sciences,Medical Devices,Medical Services;Private Equity Firm;;;;
Alinda Capital Partners Ltd, London;3000000000;5000000;5000000;United Kingdom;17-19 Maddox Street, Floor 4;W1S 2QH;London;England;+44 20 7101 2500;+44 20 7101 7721;;http://www.alinda.com/;Early Stage,Seed,Consolidation,Expansion,Mezzanine,StartUp;Cleantech,Defense, Military & Homeland Security,Energy & Natural Resources,Mining,Real Estate, Construction & Infrastructure,Transportation;Private Equity Firm;Alinda's geographic preference is global.;;;
Allegiance Capital Limited Partnership;18000000;3000000;3000000;United States of America;Suite 201, 10706 Beaver Dam Rd.;21030;Cockeysville;Maryland;;(410)568-1733;info@allcapital.com;;Later Stage,Management Buyout,Expansion,Leveraged Buyout,Mezzanine;Environment,Financial Services,Food & Ingredients,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Healthcare,Internet,IT Services,Leisure Products and Services,Medical Devices,Pharmaceuticals,Technology,Telecommunication;Private Equity Firm;The primary geographic preference of Allegiance is within the 200 mile radius of Baltimore, Maryland.;W. Gary Dorsch,Thomas Holland, Jr.,Daniel Yardley;(410)568-1715,(410)568-1740,(410)568-1741;gdorsch@allcapital.com,tholland@allcapital.com,dyardley@allcapital.com
Alliance Mezzanine Investors, L.P.;350000000;30000000;30000000;United States of America;96 Pompton Avenue;07044;Verona;New Jersey;(973) 239-8900;(973) 239-8909;maria@mezcap.com;;Management Buyout,Expansion,Mezzanine;Business Services,Distribution,Financial Services,Manufacturing,Medical Services;Private Equity Firm,Business Lender;AMI's primary geographic preference is within the states of New York, Pennsylvania, Connecticut, and New Jersey.;Bob Eberhardt, Partner,Doug Smith, Partner,Maria Vullo, Manager;(973)239-8900,(973)239-8900,(973)239-8900;rwe@mezcap.com,doug@mezcap.com,maria@mezcap.com
Alpha Capital Partners;900000000;50000000;50000000;United States of America;122 South Michigan Avenue Suite 1700;60603;Chicago;Illinois;312) 322-9800;(312) 322-9808;info@alphacapital.com;http://www.alphacapital.com/;Management Buyout,Expansion,Leveraged Buyout;Distribution,Diversified,Consumer Products,Financial Services,Healthcare,Manufacturing,Retail and wholesale,Software,Technology;Private Equity Firm;Alpfa Captital's global preference is global and works internationally with its affiliates;Andrew H. Kalnow - President,Gary L. Stark - Managing Director,John W. Rose - Principal (for financial sector investments),Anthony Dolan – Associate,J. Dirk Vos - Chairman, Board of Advisors,R.E. (Dick) George - Senior Advisor;(312)322-9800,(312)322-9800,(312)322-9800,(312)322-9800,(312)322-9800,(312)322-9800;ahkalnow@alphacapital.com,garystark@alphacapital.com,jwrose@alphacapital.com,adolan@alphacapital.com,jdevos@alphacapital.com,redgeorge@alphacapital.com
Alpine Investors, LP;900000000;100000000;100000000;United States of America;Three Embarcadero Center, Suite 2330;94111;San Francisco;California;(415)392-9100 X303;(415) 392-9101;chris@alpine-investors.com;http://www.alpine-investors.com/;Management Buyout,Leveraged Buyout;Computer Services,Education,Diversified,Communication & Computer Networks,Consumer Products,Consumer Services,Financial Services,Insurance,Internet,Leisure Products and Services,Retail and wholesale,Software;Private Investor;Alpine Investors LP has a geographic preference of within the Continental United States.;Matt Picciano,Tyler Duncan;(415) 392-9100 X323,(415) 392-9100 X307;mpicciano@alpine-investors.com,tduncan@alpine-investors.com
AlpInvest Amsterdam;6000000000;750000000;750000000;Netherlands;Jachthavenweg 118;1081 KJ;Amsterdam;; +31 20 540 7575;+31 20 540 7500;;http://www.alpinvest.com/;Later Stage,Management Buyout,Expansion,Leveraged Buyout,Mezzanine;Cleantech,Computer Services,Computer Hardware,Diversified,Communication & Computer Networks,Healthcare,Internet,Life Sciences,Software,Technology;Venture Capital Firm,Private Equity Firm;AlpInvest's geographic preference is global.;;;
AlpInvest New York;5994200000;749275000;749275000;United States of America;630 Fifth Avenue, 28th Floor;10111;New York;New York;;(212) 332 6241;careers@alpinvest.com;http://www.alpinvest.com/;Later Stage,Management Buyout,Expansion,Leveraged Buyout,Mezzanine;Computer Services,Computer Hardware,Communication & Computer Networks,Healthcare,Internet,Life Sciences,Software,Technology;Venture Capital Firm,Private Equity Firm;AlpInvest's geographic preference is global.;Iain Leigh, Co-Investments, Mezzanine,Tjarko Hektor, Secondary Investments,Helen Lais, Fund Investments,Elliot Royce, Fund Investments;(212) 332 6260,(212) 332 6270,(212) 332 6340,(212) 332 6276;iain.leigh@alpinvest.com,tjarko.hektor@alpinvest.com,helen.lais@alpinvest.com,elliot.royce@alpinvest.com
AlpInvest Partners Ltd. Hong Kong;5994200000;749275000;749275000;China/Honk Kong/Macau;701 Citibank Tower, 3 Garden Road;;Hong Kong;;+852 2878 7099;+852 2878 7009;careers@alpinvest.com;http://www.alpinvest.com/;Later Stage,Management Buyout,Expansion,Leveraged Buyout,Mezzanine;Computer Services,Computer Hardware,Communication & Computer Networks,Healthcare,Internet,Life Sciences,Software,Technology;Venture Capital Firm,Private Equity Firm;AlpInvest's geographic preference is global.;Sander van Maanen, Co-Investments ,Jennifer Shen Principal;+852 2878 3535,+852 2878 3507;sander.van.maanen@alpinvest.com,jennifer.shen@alpinvest.com
AlpInvest Partners UK Ltd., London;5000000000;749000000;749000000;United Kingdom;13 Charles II Street;SW1Y 4QU;London;England;+44 20 7747 5100;+44 20 7747 5101;careers@alpinvest.com;http://www.alpinvest.com/;Later Stage,Management Buyout,Expansion,Leveraged Buyout,Mezzanine;Computer Services,Computer Hardware,Communication & Computer Networks,Healthcare,Internet,Life Sciences,Software,Technology;Venture Capital Firm,Private Equity Firm;AlpInvest's geographic preference is global.;;;
Alta Communications;1500000000;30000000;30000000;United States of America;28 State Street Suite 1801;02109;Boston;Massachusetts;;(617) 262-9779;clarason@altacomm.com;;Later Stage,Management Buyout,Expansion,Leveraged Buyout;Computer Services,Computer Hardware,Communication & Computer Networks,Internet,IT Services,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Software,Technology,Telecommunication;Private Equity Firm;Alta Communication's geographic preferences are within the continental United States and Canada.;Tim Dibble, Managing General Partner,Bill Egan, General Partner,Wayne Mack, Partner,Eileen McCarthy Toti, General Partner/CFO,Brian McNeill, Managing General Partner,Andrew Mulderry, General Partner,Jessica Barry Reed, Vice President,Daniel Milligan, Associate,Katharine Stolz, Associate;(617) 956-1333,(617) 956-1304,(617) 956-1328,(617) 956-1318,(617) 956-1317,(617) 956-1343,(617) 956-1336,(617) 956-1365,(617) 956-1366;tdibble@altacomm.com,began@altacomm.com,wmack@altacomm.com,emccarthy@altacomm.com,bmcneill@altacomm.com,amulderry@altacomm.com,jreed@altacomm.com,dmilligan@altacomm.com,kstolz@altacomm.com
Alta Growth Capital;1000000000;5000000;15000000;Mexico;Bosque de Duraznos 127 4th floor;D.F. 11700;Bosques de las Lomas;;52 55 5254 3280;NA;info@agcmexico.com;http://www.agcmexico.com/;Consolidation,Expansion,Mezzanine;Consumer Products,Consumer Services,Education,Financial Services,Healthcare,Industrial Services,Manufacturing,Media &amp  Entertainment (Including Television, Radio, Newspapers, Internet &amp  Film Production),Real Estate, Construction &amp  Infrastructure;Private Equity Firm;Alta Growth Capital's geographic preference is Mexico and the Hispanic areas of the United States as well as some markets within Latin America;Erik Carlberg, Managing Director,Rafael Payro, Managing Director,Scott McDonough, Managing Director;+52 55 5254 3280;ecarlberg@agcmexico.com,rpayro@agcmexico.com,smcdonough@agcmexico.com
Alta Partners;2000000000;25000000;25000000;United States of America;One Embarcadero Center, 37th Floor;94111;San Francisco;California;(415) 362-4022;(415) 362-6178;alta@altapartners.com;http://www.altapartners.com/;Early Stage,Later Stage;Biotechnology,Healthcare,IT Services,Life Sciences,Medical Devices,Pharmaceuticals;Venture Capital Firm,Private Equity Firm;Alta Partners' geographic preference is the United States, Canada, and Europe.;Robert Alexander, Ph.D. Director,Farah Champsi, Managing Director,Alison de Bord, Director,Jean Deleage, Ph.D., Founding Partner and Managing Director,Garrett Gruener, Co-Founder and Director,Ed Hurwitz, Director,Dan Janney, Managing Director,David Mack, Ph.D., Director,Guy P. Nohra, Co-Founder and Managing Director,Ed Penhoet, Ph.D., Director,Katya Smirnyagina, Ph.D., Venture Partner,Hilary Strain, CFO,Adam Tomasi, Ph.D., Principal;(415) 362-4022,(415) 362-4022,(415) 362-4022,(415) 362-4022,(415) 362-4022,(415) 362-4022,(415) 362-4022,(415) 362-4022,(415) 362-4022,(415) 362-4022,(415) 362-4022,(415) 362-4022,(415) 362-4022;ralexander@altapartners.com,fchampsi@altapartners.com,adebord@altapartners.com,jeand@altapartners.com,garrettg@altapartners.com,ehurwitz@altapartners.com,djanney@altapartners.com,dmack@altapartners.com,guyn@altapartners.com,epenhoet@altapartners.com,katya@altapartners.com,hstrain@altapartners.com,atomasi@altapartners.com
